"Date","Time","Time (abs)","Actual Axle Torque (Value [Nm])","Steering Wheel Angle (Value [deg])","Vehicle Speed Average Driven (Value [km / h])"
2026-04-15,16-08-44,2383.716,214.0,0.00,11.77
2026-04-15,16-08-44,2383.726,194.0,0.00,11.77
2026-04-15,16-08-44,2383.736,174.0,0.00,11.77
2026-04-15,16-08-44,2383.746,174.0,0.00,11.77
2026-04-15,16-08-44,2383.756,156.0,0.00,11.77
2026-04-15,16-08-44,2383.766,140.0,0.00,11.77
2026-04-15,16-08-44,2383.776,126.0,0.00,11.88
2026-04-15,16-08-44,2383.786,126.0,0.00,11.88
2026-04-15,16-08-44,2383.796,116.0,0.00,11.88
2026-04-15,16-08-44,2383.806,108.0,0.00,11.88
2026-04-15,16-08-44,2383.816,96.0,0.00,11.88
2026-04-15,16-08-44,2383.826,86.0,0.00,11.88
2026-04-15,16-08-44,2383.836,78.0,0.00,11.88
2026-04-15,16-08-44,2383.846,78.0,0.00,11.88
2026-04-15,16-08-44,2383.856,78.0,0.00,11.88
2026-04-15,16-08-44,2383.866,78.0,0.00,11.88
2026-04-15,16-08-44,2383.876,78.0,0.06,11.89
2026-04-15,16-08-44,2383.886,78.0,0.06,11.89
2026-04-15,16-08-44,2383.896,78.0,0.06,11.89
2026-04-15,16-08-44,2383.906,78.0,0.00,11.89
2026-04-15,16-08-44,2383.916,78.0,0.00,11.89
2026-04-15,16-08-44,2383.926,78.0,0.06,11.89
2026-04-15,16-08-44,2383.936,78.0,0.06,11.89
2026-04-15,16-08-44,2383.946,78.0,0.06,11.89
2026-04-15,16-08-44,2383.956,78.0,0.00,11.89
2026-04-15,16-08-44,2383.966,78.0,0.00,11.89
2026-04-15,16-08-44,2383.976,78.0,0.06,11.92
2026-04-15,16-08-44,2383.986,78.0,0.06,11.92
2026-04-15,16-08-44,2383.996,78.0,0.00,11.92
2026-04-15,16-08-44,2384.006,78.0,0.06,11.92
2026-04-15,16-08-44,2384.017,78.0,0.12,11.92
2026-04-15,16-08-44,2384.027,78.0,0.00,11.92
2026-04-15,16-08-44,2384.037,78.0,0.00,11.92
2026-04-15,16-08-44,2384.047,78.0,0.00,11.92
2026-04-15,16-08-44,2384.057,78.0,0.06,11.92
