"Date","Time","Time (abs)","Actual Axle Torque (Value [Nm])","Steering Wheel Angle (Value [deg])","Vehicle Speed Average Driven (Value [km / h])"
2026-04-15,15-32-03,183.198,48.0,2.81,6.56
2026-04-15,15-32-03,183.208,48.0,2.81,6.56
2026-04-15,15-32-03,183.218,48.0,2.88,6.56
2026-04-15,15-32-03,183.228,48.0,2.81,6.56
2026-04-15,15-32-03,183.238,48.0,2.81,6.56
2026-04-15,15-32-03,183.248,46.0,2.81,6.56
2026-04-15,15-32-03,183.258,46.0,2.81,6.56
2026-04-15,15-32-03,183.268,46.0,2.81,6.58
2026-04-15,15-32-03,183.278,46.0,2.81,6.58
2026-04-15,15-32-03,183.288,46.0,2.88,6.58
2026-04-15,15-32-03,183.298,46.0,2.88,6.58
2026-04-15,15-32-03,183.308,46.0,2.81,6.58
2026-04-15,15-32-03,183.318,46.0,2.75,6.58
2026-04-15,15-32-03,183.328,46.0,2.88,6.58
2026-04-15,15-32-03,183.338,46.0,2.81,6.58
2026-04-15,15-32-03,183.349,46.0,2.81,6.58
2026-04-15,15-32-03,183.359,46.0,2.81,6.58
2026-04-15,15-32-03,183.369,46.0,2.81,6.64
2026-04-15,15-32-03,183.379,46.0,2.81,6.64
2026-04-15,15-32-03,183.389,46.0,2.81,6.64
2026-04-15,15-32-03,183.399,46.0,2.81,6.64
2026-04-15,15-32-03,183.409,46.0,2.81,6.64
2026-04-15,15-32-03,183.419,46.0,2.88,6.64
2026-04-15,15-32-03,183.429,46.0,2.81,6.64
2026-04-15,15-32-03,183.439,46.0,2.75,6.64
2026-04-15,15-32-03,183.449,46.0,2.88,6.64
2026-04-15,15-32-03,183.461,46.0,2.88,6.64
2026-04-15,15-32-03,183.471,46.0,2.88,6.66
2026-04-15,15-32-03,183.481,46.0,2.81,6.66
2026-04-15,15-32-03,183.491,46.0,2.81,6.66
2026-04-15,15-32-03,183.501,46.0,2.88,6.66
2026-04-15,15-32-03,183.511,46.0,2.81,6.66
2026-04-15,15-32-03,183.521,46.0,2.81,6.66
2026-04-15,15-32-03,183.531,46.0,2.81,6.66
2026-04-15,15-32-03,183.541,46.0,2.81,6.66
2026-04-15,15-32-03,183.551,46.0,2.81,6.66
2026-04-15,15-32-03,183.561,46.0,2.81,6.66
2026-04-15,15-32-03,183.571,46.0,2.81,6.66
2026-04-15,15-32-03,183.581,46.0,2.81,6.66
2026-04-15,15-32-03,183.591,46.0,2.88,6.66
2026-04-15,15-32-03,183.601,46.0,2.88,6.66
2026-04-15,15-32-03,183.611,46.0,2.81,6.66
2026-04-15,15-32-03,183.622,46.0,2.75,6.66
2026-04-15,15-32-03,183.632,46.0,2.81,6.66
2026-04-15,15-32-03,183.642,46.0,2.81,6.66
2026-04-15,15-32-04,183.652,46.0,2.81,6.66
2026-04-15,15-32-04,183.662,46.0,2.81,6.73
2026-04-15,15-32-04,183.672,46.0,2.81,6.73
2026-04-15,15-32-04,183.682,46.0,2.81,6.73
2026-04-15,15-32-04,183.692,46.0,2.88,6.73
2026-04-15,15-32-04,183.702,46.0,2.81,6.73
2026-04-15,15-32-04,183.712,46.0,2.75,6.73
2026-04-15,15-32-04,183.722,44.0,2.75,6.73
2026-04-15,15-32-04,183.732,44.0,2.88,6.73
2026-04-15,15-32-04,183.742,44.0,2.88,6.73
2026-04-15,15-32-04,183.752,44.0,2.81,6.73
2026-04-15,15-32-04,183.762,44.0,2.81,6.75
2026-04-15,15-32-04,183.772,44.0,2.81,6.75
2026-04-15,15-32-04,183.782,44.0,2.81,6.75
2026-04-15,15-32-04,183.792,44.0,2.88,6.75
2026-04-15,15-32-04,183.802,44.0,2.81,6.75
2026-04-15,15-32-04,183.812,44.0,2.81,6.75
2026-04-15,15-32-04,183.822,44.0,2.81,6.75
2026-04-15,15-32-04,183.832,44.0,2.88,6.75
2026-04-15,15-32-04,183.842,44.0,2.75,6.75
2026-04-15,15-32-04,183.852,44.0,2.81,6.75
2026-04-15,15-32-04,183.862,44.0,2.75,6.75
2026-04-15,15-32-04,183.872,44.0,2.75,6.75
2026-04-15,15-32-04,183.883,44.0,2.88,6.75
2026-04-15,15-32-04,183.893,44.0,2.81,6.75
2026-04-15,15-32-04,183.903,44.0,2.75,6.75
2026-04-15,15-32-04,183.913,44.0,2.81,6.75
2026-04-15,15-32-04,183.923,44.0,2.81,6.75
2026-04-15,15-32-04,183.933,44.0,2.81,6.75
2026-04-15,15-32-04,183.943,44.0,2.75,6.75
2026-04-15,15-32-04,183.953,44.0,2.75,6.75
2026-04-15,15-32-04,183.963,44.0,2.75,6.81
2026-04-15,15-32-04,183.973,44.0,2.69,6.81
2026-04-15,15-32-04,183.983,44.0,2.81,6.81
2026-04-15,15-32-04,183.993,44.0,2.75,6.81
2026-04-15,15-32-04,184.003,44.0,2.75,6.81
2026-04-15,15-32-04,184.013,44.0,2.81,6.81
2026-04-15,15-32-04,184.023,44.0,2.81,6.81
2026-04-15,15-32-04,184.033,44.0,2.81,6.81
2026-04-15,15-32-04,184.043,44.0,2.75,6.81
2026-04-15,15-32-04,184.053,44.0,2.69,6.81
2026-04-15,15-32-04,184.063,44.0,2.81,6.78
2026-04-15,15-32-04,184.073,44.0,2.81,6.78
2026-04-15,15-32-04,184.083,44.0,2.69,6.78
2026-04-15,15-32-04,184.093,44.0,2.81,6.78
2026-04-15,15-32-04,184.103,44.0,2.75,6.78
2026-04-15,15-32-04,184.113,44.0,2.75,6.78
2026-04-15,15-32-04,184.123,44.0,2.75,6.78
2026-04-15,15-32-04,184.133,44.0,2.75,6.78
2026-04-15,15-32-04,184.143,44.0,2.75,6.78
2026-04-15,15-32-04,184.153,44.0,2.81,6.78
